Rank,Instructor's Code,Revenue After VAT
222,jyjy.benyapa,925.23
223,keerati.panyanearamitdee,925.23
224,kiat.kiattirat,925.23
225,mai.piyavalee,925.23
226,naruemol,925.23
227,nong.alongkon,925.23
228,nop.noppamest,925.23
229,poy.pornpat,925.23
230,chachchai,887.85
231,aun.bundit,840.19
232,poj.suttipoj,840.19
233,ton.panus,840.19
234,pin.saypin,840.19
235,aom.santi,0
236,aun.bundit,0
237,keerati.panyanearamitdee,0
238,peng.worawut,0
239,tum.pitoon,0
240,meen.thetarot,0
